2025-12-02 00:57:59 INFO  wsc.c:77: Server HTTP in ascolto su 0.0.0.0:6969
2025-12-02 00:58:01 INFO  wsc.c:100: 192.168.8.159 si é connesso!
2025-12-02 00:58:01 INFO  http.c:246: Header buffer riallocato di 128 bytes.
2025-12-02 00:58:01 INFO  http.c:246: Header buffer riallocato di 256 bytes.
2025-12-02 00:58:01 INFO  http.c:246: Header buffer riallocato di 512 bytes.
2025-12-02 00:58:01 INFO  http.c:254: Header completo ricevuto!
2025-12-02 00:58:01 INFO  http.c:270: HTTP Header Request Method: GET
2025-12-02 00:58:01 INFO  http.c:271: HTTP Header Request Target: /
2025-12-02 00:58:01 INFO  http.c:272: HTTP Header Request HTTP Version: HTTP/1.1
2025-12-02 00:58:01 INFO  http.c:274: HTPP Headers count: 9
2025-12-02 00:58:01 INFO  http.c:277: HTTP Host:192.168.8.110:6969
2025-12-02 00:58:01 INFO  http.c:277: HTTP Connection:keep-alive
2025-12-02 00:58:01 INFO  http.c:277: HTTP Cache-Control:max-age=0
2025-12-02 00:58:01 INFO  http.c:277: HTTP Upgrade-Insecure-Requests:1
2025-12-02 00:58:01 INFO  http.c:277: HTTP User-Agent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36
2025-12-02 00:58:01 INFO  http.c:277: HTTP Accept:text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8
2025-12-02 00:58:01 INFO  http.c:277: HTTP Sec-GPC:1
2025-12-02 00:58:01 INFO  http.c:277: HTTP Accept-Language:it-IT,it;q=0.5
2025-12-02 00:58:01 INFO  http.c:277: HTTP Accept-Encoding:gzip, deflate
2025-12-02 00:58:01 INFO  http.c:203: Metodo GET ricevuto dal client
2025-12-02 00:58:01 ERROR http.c:66: Impossibile trovare index.html
2025-12-02 00:58:01 ERROR http.c:291: HTTP Messagge é nullo!
2025-12-02 00:58:01 INFO  http.c:305: Inviata una risposta al socket: 5

